Year,GDP (B US$),GDP/Capita,GDP Growth,Inflation Rate,Manufaturing Output (B US$),Manufacturing of GDP,Trade of GDP,Healthcare/Capita (US $),Healthcare of GDP,Poverty,Hunger,Clean Water Access,Electricty Access,Unemployment,CO2 Kilotons      ,Metric Tons/Capita,Migrant Population,Military Spending (B US$),Military Spending of GDP,Literacy Rate
2018,85790.82,11297,3.03,2.51,,,,,,,,,,4.95,,,,1782.35,2.14,
2017,80885.58,10769,3.16,2.18,13171.26,15.65,57.88,,,,,,,5.05,,,,1695.78,2.16,
2016,76103.53,10248,2.57,1.43,12312.91,15.56,56.1,1026,10.02,,10.8,,88.87,5.22,,,,1631.22,2.2,86.25
2015,75002.37,10218,2.86,1.4,12247.91,15.63,57.81,1007,9.89,46,10.6,,88,5.22,,,3.35,1640.54,2.25,86.02
2014,79296.76,10929,2.84,2.24,12698.8,15.48,59.71,1046,9.6,48.7,10.7,71.16,86.8,5.19,36138285,4.98,,1741.95,2.24,85.81
2013,77189.95,10764,2.65,2.61,12276.07,15.48,60.03,1022,9.51,50.8,11,71.14,85.61,5.35,35837591,5,,1741.19,2.29,85.49
2012,75045.78,10589,2.51,3.73,12033.85,15.68,60.48,999,9.46,52.2,11.3,71.09,85.13,5.35,35470891,5.01,,1739.02,2.35,85.36
2011,73357.8,10474,3.13,4.81,11780.73,15.83,60.43,989,9.45,53.9,11.5,71.22,84.83,5.34,34847501,4.98,,1733.07,2.39,84.6
2010,66036.92,9539,4.28,3.29,10557.4,15.94,56.81,913,9.57,56.6,11.8,71.14,82.14,5.47,33472376,4.84,3.22,1629.17,2.49,84.56
2009,60340.07,8821,-1.69,2.93,9343.06,15.64,52.24,868,9.83,60.4,12.2,70.82,83.25,5.6,31891899,4.66,,1546.45,2.59,84.15
2008,63616.07,9414,1.85,8.76,10220.97,16.5,60.73,855,9.06,64.1,12.6,69.9,82.72,4.94,32181592,4.76,,1490.64,2.36,83.83
2007,57968.74,8684,4.22,4.81,9435.51,16.94,58.91,789,9.04,66.9,13.1,68.97,82.19,4.94,31180501,4.67,,1318.78,2.29,83.51
2006,51442.68,7802,4.33,4.22,8393.17,17.08,58.33,720,9.2,67.4,13.8,68.02,82.17,5.24,30568112,4.64,,1188.06,2.33,83
2005,47458.96,7287,3.87,4.08,7765.09,17.15,56.1,680,9.29,68.1,14.5,67.06,81.2,5.6,29490014,4.53,2.95,1145.83,2.36,83
2004,43811.78,6811,4.38,3.36,7245.12,17.34,54,639,9.35,67.1,14.8,66.09,80.21,5.72,28393581,4.41,,1057.67,2.36,83.04
2003,38899.9,6123,2.91,3.03,6477.97,15.96,50.71,581,9.46,66.6,15.1,64.71,80.12,5.92,27047792,4.26,,936.57,2.36,82.57
2002,34669.31,5526,2.19,2.83,5830,16.1,49.56,517,9.31,66.8,15.1,63.75,79.86,5.82,25646998,4.09,,801.5,2.3,82.08
2001,33382.51,5389,1.95,3.84,5767.91,16.49,49.93,486,8.96,66.2,14.9,62.82,79.28,5.55,25276631,4.08,,741.84,2.2,81.74
2000,33581.57,5492,4.39,3.43,6143.18,17.06,51.1,473,8.56,,14.8,61.81,78.02,5.48,24689911,4.04,2.83,729.52,2.17,81.48
1999,32529.37,5390,3.27,3.16,5997.2,17.2,46.55,,,,,61.42,78.44,5.65,24059187,3.99,,709.32,2.18,81.31
1998,31367.31,5268,2.56,5.19,5842.16,17.49,46.03,,,,,,79.47,5.49,24114192,4.05,,696.37,2.24,81.01
1997,31435.98,5353,3.7,5.42,5975.28,17.54,45.63,,,,,,78.41,5.35,23975007.35,4.08,,714.43,2.29,79.82
1996,31549.41,5449,3.38,6.68,,,43.65,,,,,,78.24,5.32,23571556.67,4.07,,715.64,2.29,77.86
1995,30865.11,5408,3.03,9.08,,,43.37,,,,,,77.78,5.25,23037524.13,4.04,2.82,717.28,2.36,77.48
1994,27753.16,4936,3.01,10.32,,,41.33,,,,,,77.66,5.09,22551690.63,4.01,,694.62,2.55,77.12
1993,25838.44,4665,1.53,6.78,,,40.32,,,,,,76.88,4.87,22162174.56,4,,686.02,2.74,76.76
1992,25426.09,4662,1.77,7.54,,,41.07,,,,,,76.66,4.53,22183417.49,4.07,,716.57,2.9,76.41
1991,23942.6,4459,1.42,8.97,,,38.52,,,,,,,4.4,22403928.87,4.17,,684.89,2.97,75.99
1990,22603.41,4280,2.91,8.13,,,38.83,,,,,,,,22149402.4,4.19,2.89,699.87,3.27,75.44
1989,20098.9,3872,3.68,7,,,38.71,,,,,,,,22029385.16,4.24,,645.28,3.4,75.14
1988,19249.9,3773,4.62,7.15,,,37.82,,,,,,,,21565403.31,4.23,,626.75,3.5,74.76
1987,17205.07,3432,3.7,5.66,,,36.27,,,,,,,,20817151.96,4.15,,588.23,3.74,73.22
1986,15123.9,3070,3.39,5.78,,,35.33,,,,,,,,20315356.02,4.12,,520.27,3.85,72.71
1985,12796.63,2644,3.72,6.81,,,38.16,,,,,,,,19719241.16,4.07,2.89,474.46,4.15,72.31
1984,12182.91,2561,4.51,8.22,,,38.67,,,,,,,,19145865.38,4.02,,447.92,4.1,71.9
1983,11740.33,2511,2.41,8.87,,,37.26,,,,,,,,18484356.91,3.95,,399.73,3.8,71.43
1982,11511.16,2506,0.42,10.26,,,38.06,,,,,,,,18562354,4.04,,363.62,3.54,70.9
1981,11620.26,2575,1.93,12.48,,,39.04,,,,,,,,18726246.9,4.15,,317.57,3.5,70.52
1980,11219.1,2530,1.9,,,,38.71,,,,,,,,19324327.26,4.36,2.89,,,70.04
1979,9964.75,2287,4.12,,,,36.34,,,,,,,,19533547.95,4.48,,,,69.83
1978,8579.24,2003,3.89,,,,34.05,,,,,,,,18497906.48,4.32,,,,69.43
1977,7273.02,1728,3.93,,,,34.66,,,,,,,,18279804.32,4.34,,,,69.02
1976,6433.94,1555,5.27,,,,34.35,,,,,,,,17726098.32,4.29,,,,68.89
1975,5916.29,1456,0.6,,,,33.5,,,,,,,,16745791.87,4.12,2.89,,,
1974,5312.39,1332,2,,,,35.59,,,,,,,,16850822.09,4.22,,,,
1973,4606,1177,6.51,,,,30.39,,,,,,,,16822109.48,4.3,,,,
1972,3775.05,984,5.73,,,,27.48,,,,,,,,15957192.52,4.16,,,,
1971,3271.26,870,4.34,,,,27.33,,,,,,,,15323175.56,4.07,,,,
1970,2959.1,803,3.71,,,,27.29,,,,,,,,14788798.31,4.01,2.89,,,
1969,2690.56,746,6.12,,,,26.24,,,,,,,,13797116.84,3.82,,,,
1968,2443.38,691,6.19,,,,25.71,,,,,,,,13017193.61,3.68,,,,
1967,2265,654,4.41,,,,24.36,,,,,,,,12389685.57,3.58,,,,
1966,2128.41,627,5.8,,,,24.68,,,,,,,,12009447,3.54,,,,
1965,1962.04,590,5.57,,,,24.01,,,,,,,,11433441.98,3.44,2.89,,,
1964,1802.09,553,6.67,,,,23.91,,,,,,,,10947007.09,3.36,,,,
1963,1644.51,515,5.21,,,,24,,,,,,,,10355747.35,3.25,,,,
1962,1527.27,489,5.56,,,,23.48,,,,,,,,9818839.87,3.14,,,,
1961,1422.55,463,4.32,,,,24.39,,,,,,,,9434402.6,3.07,,,,
1960,1367.63,451,,,,,24.12,,,,,,,,9396705.84,3.1,2.89,,,